Rk,Player,Pos,Age,Tm,G▼,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
69,Hassan Whiteside\whiteha01,C,30,POR,67,2008,25.0,.644,.010,.340,13.6,33.3,23.6,5.9,0.6,8.4,12.9,19.6,,5.6,3.0,8.5,.204,,2.5,0.7,3.2,2.6
70,Isaac Bonga\bongais01,SF,20,WAS,66,1250,10.2,.608,.303,.363,6.0,13.8,9.7,7.9,1.7,1.5,17.6,11.0,,1.2,0.6,1.8,.068,,-2.7,-0.1,-2.8,-0.3
71,Alec Burks\burksal01,SF-SG,28,TOT,66,1754,16.7,.561,.392,.345,2.9,14.9,8.7,17.2,1.7,0.9,9.3,23.8,,2.5,1.2,3.7,.101,,1.2,-0.7,0.5,1.1
72,Donte DiVincenzo\divindo01,SG,23,MIL,66,1520,14.1,.557,.484,.169,4.6,15.5,10.3,13.6,2.6,1.2,14.1,17.3,,1.0,3.2,4.3,.135,,-1.1,2.4,1.3,1.3
73,Evan Fournier\fournev01,SF,27,ORL,66,2076,16.4,.595,.467,.237,0.9,8.2,4.4,16.6,1.7,0.7,10.9,23.9,,2.9,1.7,4.6,.106,,1.4,-0.4,1.0,1.6
74,Langston Galloway\gallola01,SG,28,DET,66,1702,12.3,.584,.611,.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,,2.4,0.7,3.1,.087,,0.0,-0.9,-0.8,0.5
75,Aaron Holiday\holidaa01,PG,23,IND,66,1617,11.6,.521,.393,.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,,0.4,1.7,2.1,.063,,-1.6,0.0,-1.6,0.2
76,Damian Lillard\lillada01,PG,29,POR,66,2474,26.9,.627,.500,.384,1.4,10.5,6.0,34.4,1.3,0.8,11.0,30.3,,10.9,0.7,11.6,.225,,8.3,-0.9,7.5,5.9
77,Robin Lopez\lopezro01,C,31,MIL,66,958,10.2,.554,.351,.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,,-0.1,1.6,1.5,.077,,-3.0,0.4,-2.6,-0.2
78,Patty Mills\millspa02,PG,31,SAS,66,1485,14.8,.592,.674,.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,,2.3,0.5,2.8,.091,,1.2,-1.2,0.0,0.8
79,Dejounte Murray\murrade01,PG,23,SAS,66,1687,16.2,.524,.174,.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,,0.7,2.0,2.6,.074,,-0.9,1.3,0.4,1.0
80,Georges Niang\niangge01,PF,26,UTA,66,923,11.7,.589,.699,.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,,1.0,0.8,1.8,.092,,0.4,-0.5,-0.1,0.4
81,Jakob Poeltl\poeltja01,C,24,SAS,66,1171,19.1,.612,.000,.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,,2.4,1.6,4.0,.163,,0.5,2.0,2.5,1.3
82,Bobby Portis\portibo01,PF,24,NYK,66,1393,14.6,.530,.317,.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,,0.9,1.0,1.9,.064,,0.0,-1.1,-1.1,0.3
83,Dario Šarić\saricda01,PF,25,PHO,66,1632,14.2,.592,.437,.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,,2.1,1.5,3.6,.105,,-0.1,-0.3,-0.4,0.7
84,Jayson Tatum\tatumja01,PF,21,BOS,66,2265,20.4,.567,.383,.255,3.1,18.5,10.9,14.5,2.0,2.3,10.2,28.6,,3.2,3.7,6.9,.146,,3.5,0.6,4.0,3.4
85,Miles Bridges\bridgmi02,SF,21,CHO,65,1995,12.1,.520,.398,.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,,0.3,1.3,1.6,.039,,-1.5,-1.0,-2.5,-0.3
86,Jae Crowder\crowdja01,SF-PF,29,TOT,65,1875,12.5,.553,.700,.222,3.0,18.5,11.0,11.5,1.8,1.2,10.0,15.5,,1.6,2.2,3.8,.098,,-0.5,0.4,-0.1,0.9
87,Josh Hart\hartjo01,SF,24,NOP,65,1755,11.9,.563,.665,.216,3.7,22.1,12.8,8.2,1.7,1.1,11.4,15.3,,1.3,1.8,3.1,.085,,-1.1,0.4,-0.7,0.6
88,Justin Jackson\jacksju01,PF,24,DAL,65,1045,9.5,.496,.478,.147,2.7,12.6,7.7,6.8,0.7,0.8,3.7,15.4,,0.6,0.6,1.2,.054,,-2.1,-1.3,-3.4,-0.4
89,Tyus Jones\jonesty01,PG,23,MEM,65,1232,15.7,.532,.289,.135,0.8,7.9,4.4,32.0,2.2,0.4,10.8,17.2,,1.9,1.1,3.0,.117,,0.4,0.2,0.6,0.8
90,Kevin Knox\knoxke01,SF,20,NYK,65,1166,8.3,.470,.496,.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,,-0.5,0.7,0.2,.007,,-3.1,-1.1,-4.2,-0.7
91,Cedi Osman\osmande01,SF,24,CLE,65,1910,10.7,.552,.527,.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,,1.0,0.6,1.6,.040,,-1.7,-0.9,-2.6,-0.3
92,Ricky Rubio\rubiori01,PG,29,PHO,65,2016,16.5,.535,.312,.327,2.5,14.4,8.4,39.7,2.2,0.5,17.9,20.4,,2.9,2.0,4.9,.117,,0.7,0.2,1.0,1.5
93,Tomáš Satoranský\satorto01,SG,28,CHI,65,1878,13.5,.533,.361,.220,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,,1.8,1.7,3.5,.090,,-1.1,-0.2,-1.3,0.3
94,Dennis Schröder\schrode01,PG,26,OKC,65,1999,16.7,.575,.337,.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,,1.9,1.8,3.6,.087,,1.1,-1.1,0.0,1.0
95,Collin Sexton\sextoco01,PG,21,CLE,65,2143,16.3,.560,.235,.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,,2.1,0.4,2.5,.057,,0.3,-2.1,-1.8,0.1
96,Daniel Theis\theisda01,C,27,BOS,65,1566,17.9,.631,.225,.268,9.7,19.3,14.6,10.1,1.1,5.0,10.2,14.4,,4.0,2.6,6.5,.201,,0.6,1.8,2.4,1.7
